campaign_id,title,slug,source,github_path,category,status_directory,original_length_label,session_min,session_max,normalized_length,ip_status,duplicate_status,readiness_score,recommended_next_action,audit_confidence
ir-a-midsummer-nights-chaos,A Midsummer Nights Chaos,a-midsummer-nights-chaos,GitHub,campaign-ideas/Completed/Fantasy/a-midsummer-nights-chaos,Fantasy,Completed,,8,10,Short,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-above-the-cloudline,Above The Cloudline,above-the-cloudline,GitHub,campaign-ideas/Completed/Adventure/above-the-cloudline,Adventure,Completed,,25,35,Long,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-abyssal-descent,Abyssal Descent,abyssal-descent,GitHub,campaign-ideas/Completed/Horror/abyssal-descent,Horror,Completed,,10,15,Medium,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-academy-of-arcane-gastronomy,Academy Of Arcane Gastronomy,academy-of-arcane-gastronomy,GitHub,campaign-ideas/Completed/Fantasy/academy-of-arcane-gastronomy,Fantasy,Completed,,35,35,Long,Original/clear,Unreviewed,84,Manual editorial review,Medium
ir-academy-of-legends,Academy Of Legends,academy-of-legends,GitHub,campaign-ideas/Completed/Fantasy/academy-of-legends,Fantasy,Completed,,15,20,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-aethelgard-the-once-and-future-king,Aethelgard The Once And Future King,aethelgard-the-once-and-future-king,GitHub,campaign-ideas/Completed/Sci-Fi/aethelgard-the-once-and-future-king,Sci-Fi,Completed,,,,Unknown,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-after-the-starfall,After The Starfall,after-the-starfall,GitHub,campaign-ideas/Completed/Post-Apocalyptic/after-the-starfall,Post-Apocalyptic,Completed,,10,12,Medium,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-against-the-titans,Against The Titans,against-the-titans,GitHub,campaign-ideas/Completed/Adventure/against-the-titans,Adventure,Completed,,,,Unknown,Original/clear,Unreviewed,74,Manual editorial review,Medium
ir-agents-of-concordia,Agents Of Concordia,agents-of-concordia,GitHub,campaign-ideas/Completed/Intrigue/agents-of-concordia,Intrigue,Completed,,30,30,Long,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-agents-of-the-concordat,Agents Of The Concordat,agents-of-the-concordat,GitHub,campaign-ideas/Completed/Sci-Fi/agents-of-the-concordat,Sci-Fi,Completed,,30,30,Long,Original/clear,Unreviewed,67,Manual editorial review,Medium
ir-alchemical-insurgence,Alchemical Insurgence,alchemical-insurgence,GitHub,campaign-ideas/Completed/Fantasy/alchemical-insurgence,Fantasy,Completed,,35,35,Long,Original/clear,Unreviewed,74,Manual editorial review,Medium
ir-aldnoah-drive-conspiracy,Aldnoah Drive Conspiracy,aldnoah-drive-conspiracy,GitHub,campaign-ideas/Completed/Sci-Fi/aldnoah-drive-conspiracy,Sci-Fi,Completed,,12,15,Medium,Original/clear,Unreviewed,78,Manual editorial review,Medium
ir-all-for-one,All For One,all-for-one,GitHub,campaign-ideas/Completed/Intrigue/all-for-one,Intrigue,Completed,,12,15,Medium,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-all-that-jazz,All That Jazz,all-that-jazz,GitHub,campaign-ideas/Completed/Mystery/all-that-jazz,Mystery,Completed,,12,15,Medium,Original/clear,Unreviewed,62,Manual editorial review,Medium
ir-alpha-predator-rising,Alpha Predator Rising,alpha-predator-rising,GitHub,campaign-ideas/Completed/Sci-Fi/alpha-predator-rising,Sci-Fi,Completed,,36,36,Epic,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-angel-descent,Angel Descent,angel-descent,GitHub,campaign-ideas/Completed/Sci-Fi/angel-descent,Sci-Fi,Completed,,,,Unknown,Original/clear,Unreviewed,62,Manual editorial review,Medium
ir-anti-grav-league-wars,Anti Grav League Wars,anti-grav-league-wars,GitHub,campaign-ideas/Completed/Sci-Fi/anti-grav-league-wars,Sci-Fi,Completed,,15,20,Medium,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-arc-of-orleans,Arc Of Orleans,arc-of-orleans,GitHub,campaign-ideas/Completed/Historical/arc-of-orleans,Historical,Completed,,12,14,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-architects-of-eternity,Architects Of Eternity,architects-of-eternity,GitHub,campaign-ideas/Completed/Historical/architects-of-eternity,Historical,Completed,,35,45,Epic,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-arkham-investigations,Arkham Investigations,arkham-investigations,GitHub,campaign-ideas/Completed/Horror/arkham-investigations,Horror,Completed,,15,20,Medium,Needs transformation,Unreviewed,67,Manual editorial review,Medium
ir-arks-defenders-of-eternity,Arks Defenders Of Eternity,arks-defenders-of-eternity,GitHub,campaign-ideas/Sci-Fi/arks-defenders-of-eternity,Sci-Fi,Active/genre,,15,15,Medium,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-as-you-wish,As You Wish,as-you-wish,GitHub,campaign-ideas/Completed/Adventure/as-you-wish,Adventure,Completed,,10,12,Medium,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-ascension-protocol,Ascension Protocol,ascension-protocol,GitHub,campaign-ideas/Completed/Adventure/ascension-protocol,Adventure,Completed,,20,20,Medium,Original/clear,Unreviewed,84,Manual editorial review,Medium
ir-ash-and-remembrance,Ash And Remembrance,ash-and-remembrance,GitHub,campaign-ideas/Completed/Fantasy/ash-and-remembrance,Fantasy,Completed,,6,8,Short,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-atomic-arcana,Atomic Arcana,atomic-arcana,GitHub,campaign-ideas/Completed/Intrigue/atomic-arcana,Intrigue,Completed,,20,20,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-atomic-dawn,Atomic Dawn,atomic-dawn,GitHub,campaign-ideas/Completed/Fantasy/atomic-dawn,Fantasy,Completed,,,,Unknown,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-baba-yagas-bargain,Baba Yagas Bargain,baba-yagas-bargain,GitHub,campaign-ideas/Completed/Fantasy/baba-yagas-bargain,Fantasy,Completed,,12,16,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-bang-of-the-syndicate,Bang Of The Syndicate,bang-of-the-syndicate,GitHub,campaign-ideas/Sci-Fi/bang-of-the-syndicate,Sci-Fi,Active/genre,,10,12,Medium,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-battle-of-the-bands,Battle Of The Bands,battle-of-the-bands,GitHub,campaign-ideas/Completed/Fantasy/battle-of-the-bands,Fantasy,Completed,,15,20,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-battle-school-ascendant,Battle School Ascendant,battle-school-ascendant,GitHub,campaign-ideas/Sci-Fi/battle-school-ascendant,Sci-Fi,Active/genre,,12,15,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-battleworld-tournament,Battleworld Tournament,battleworld-tournament,GitHub,campaign-ideas/Sci-Fi/battleworld-tournament,Sci-Fi,Active/genre,,,,Unknown,Original/clear,Unreviewed,47,Manual editorial review,Medium
ir-beast-of-skull-isle,Beast Of Skull Isle,beast-of-skull-isle,GitHub,campaign-ideas/Completed/Adventure/beast-of-skull-isle,Adventure,Completed,,8,12,Medium,Needs transformation,Unreviewed,67,Manual editorial review,Medium
ir-belly-of-the-beast,Belly Of The Beast,belly-of-the-beast,GitHub,campaign-ideas/Completed/Horror/belly-of-the-beast,Horror,Completed,,5,6,Short,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-belters-gambit,Belters Gambit,belters-gambit,GitHub,campaign-ideas/Sci-Fi/belters-gambit,Sci-Fi,Active/genre,,10,12,Medium,Original/clear,Unreviewed,61,Manual editorial review,Medium
ir-beneath-the-grassblade,Beneath The Grassblade,beneath-the-grassblade,GitHub,campaign-ideas/Completed/Fantasy/beneath-the-grassblade,Fantasy,Completed,,24,24,Long,Original/clear,Unreviewed,74,Manual editorial review,Medium
ir-beneath-the-sands,Beneath The Sands,beneath-the-sands,GitHub,campaign-ideas/Completed/Horror/beneath-the-sands,Horror,Completed,,4,8,Short,Original/clear,Unreviewed,70,Manual editorial review,Medium
ir-beneath-the-surface,Beneath The Surface,beneath-the-surface,GitHub,campaign-ideas/Sci-Fi/beneath-the-surface,Sci-Fi,Active/genre,,20,20,Medium,Original/clear,Unreviewed,55,Manual editorial review,Medium
ir-beneath-the-watching-eye,Beneath The Watching Eye,beneath-the-watching-eye,GitHub,campaign-ideas/Completed/Intrigue/beneath-the-watching-eye,Intrigue,Completed,,10,12,Medium,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-beyond-the-wall,Beyond The Wall,beyond-the-wall,GitHub,campaign-ideas/Completed/Fantasy/beyond-the-wall,Fantasy,Completed,,10,12,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-blades-of-glory,Blades Of Glory,blades-of-glory,GitHub,campaign-ideas/Completed/Adventure/blades-of-glory,Adventure,Completed,,15,20,Medium,Original/clear,Unreviewed,77,Manual editorial review,Medium
ir-blades-of-the-holy-war,Blades Of The Holy War,blades-of-the-holy-war,GitHub,campaign-ideas/Completed/Historical/blades-of-the-holy-war,Historical,Completed,,12,14,Medium,Original/clear,Unreviewed,71,Manual editorial review,Medium
ir-blood-and-honor,Blood And Honor,blood-and-honor,GitHub,campaign-ideas/Completed/Historical/blood-and-honor,Historical,Completed,,15,20,Medium,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-blood-in-the-water,Blood In The Water,blood-in-the-water,GitHub,campaign-ideas/Completed/Mystery/blood-in-the-water,Mystery,Completed,,8,10,Short,Original/clear,Unreviewed,73,Manual editorial review,Medium
ir-blood-of-the-einherjar,Blood Of The Einherjar,blood-of-the-einherjar,GitHub,campaign-ideas/Completed/Fantasy/blood-of-the-einherjar,Fantasy,Completed,,35,35,Long,Original/clear,Unreviewed,74,Manual editorial review,Medium
ir-bracers-of-liberl,Bracers Of Liberl,bracers-of-liberl,GitHub,campaign-ideas/Completed/Fantasy/bracers-of-liberl,Fantasy,Completed,,30,35,Long,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-breach-runners,Breach Runners,breach-runners,GitHub,campaign-ideas/Sci-Fi/breach-runners,Sci-Fi,Active/genre,,15,20,Medium,Original/clear,Unreviewed,56,Manual editorial review,Medium
ir-breath-of-the-slayer-corps,Breath Of The Slayer Corps,breath-of-the-slayer-corps,GitHub,campaign-ideas/Completed/Fantasy/breath-of-the-slayer-corps,Fantasy,Completed,,15,18,Medium,Original/clear,Unreviewed,80,Manual editorial review,Medium
ir-breath-of-the-wilds,Breath Of The Wilds,breath-of-the-wilds,GitHub,campaign-ideas/Completed/Fantasy/breath-of-the-wilds,Fantasy,Completed,,20,25,Long,Original/clear,Unreviewed,80,Manual editorial review,Medium
